Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
113;4;11;Timo Werner;Deutschland;26;11;0;
114;5;1;Bernd Leno;Deutschland;28;0;0;
115;5;36;Niklas Lomb;Deutschland;0;0;0;
116;5;28;Ramazan Özcan;Türkei;0;0;0;
117;5;4;Jonathan Tah;Deutschland;25;0;0;
118;5;16;Tin Jedvaj;Kroatien;4;0;0;
119;5;18;Wendell;Brasilien;23;2;0;
120;5;3;Takis Retsos;Griechenland;19;0;0;
121;5;23;Atakan Akkaynak;Deutschland;0;0;0;
122;5;20;Charles Aranguiz;Chile;21;1;0;
123;5;15;Julian Baumgartlinger;Österreich;17;1;0;
124;5;38;Karim Bellarabi;Deutschland;19;1;0;
125;5;8;Lars Bender;Deutschland;17;2;0;
126;5;5;Sven Bender;Deutschland;26;2;0;
127;5;10;Julian Brandt;Deutschland;28;6;0;
128;5;37;Marlon Frey;Deutschland;0;0;0;
129;5;29;Kai Havertz;Deutschland;24;2;0;
130;5;39;Benjamin Henrichs;Deutschland;19;0;0;
131;5;21;Dominik Kohr;Deutschland;23;1;0;
132;5;30;Sam Francis Schreck;Deutschland;0;0;0;
133;5;22;Vladlen Yurchenko;Ukraine;0;0;0;
134;5;13;Lucas Alario;Argentinien;19;7;0;
135;5;9;Leon Bailey;Jamaika;24;9;0;
136;5;11;Stefan Kießling;Deutschland;6;0;0;
137;5;17;Joel Pohjanpalo;Finnland;7;1;0;
138;5;31;Kevin Volland;Deutschland;26;10;0;
139;6;34;Leon Bätge;Deutschland;0;0;0;
140;6;1;Lucas Hradecky;Finnland;28;0;0;
141;6;19;David Abraham;Argentinien;22;0;0;
142;6;26;Deji Beyreuther;Deutschland;0;0;0;
143;6;22;Timothy Chandler;Vereinigte Staaten;21;2;0;
144;6;24;Danny Da Costa;Deutschland;11;1;0;
145;6;3;Simon Falette;Frankreich;24;1;0;
146;6;35;Noel Knothe;Deutschland;0;0;0;
147;6;23;Marco Russ;Deutschland;14;1;0;
148;6;13;Carlos Salcedo;Mexiko;19;0;0;
149;6;33;Taleb Tawatha;Israel;13;0;0;
150;6;15;Jetro Willems;Niederlande;17;0;0;
151;6;28;Aymen Barkok;Deutschland;8;0;0;
152;6;7;Danny Blum;Deutschland;1;1;0;
153;6;17;Kevin-Prince Boateng;Ghana;27;6;0;
154;6;42;Marijan Cavar;Bosnien-Herzegowina;0;0;0;
155;6;6;Jonathan de Guzman;Niederlande;11;0;0;
156;6;10;Marco Fabian;Mexiko;3;0;0;
157;6;5;Gelson Fernandes;Schweiz;16;0;0;
158;6;11;Mijat Gacinovic;Serbien;24;1;0;
159;6;20;Makoto Hasebe;Japan;21;0;0;
160;6;40;Daichi Kamada;Japan;3;0;0;
161;6;39;Omar Mascarell;Äquatorialguinea;5;0;0;
162;6;21;Marc Stendera;Deutschland;7;0;0;
163;6;27;Marius Wolf;Deutschland;23;4;0;
164;6;38;Renat Dadashov;Aserbaidschan;0;0;0;
165;6;9;Sebastian Haller;Frankreich;26;8;0;
166;6;31;Branimir Hrgota;Schweden;5;0;0;
167;6;8;Luka Jovic;Serbien;16;7;0;
168;6;32;Nelson Mandela Mbouhom;Kamerun;0;0;0;
169;6;14;Alexander Meier;Deutschland;0;0;0;
170;6;4;Ante Rebic;Kroatien;25;6;0;
171;7;1;Oliver Baumann;Deutschland;28;0;0;
172;7;36;Gregor Kobel;Schweiz;0;0;0;
173;7;33;Alexander Stolz;Deutschland;0;0;0;
174;7;25;Kevin Akpoguma;Deutschland;16;0;0;
175;7;0;Kevin Akpoguma;Deutschland;16;0;0;
176;7;4;Ermin Bicakcic;Bosnien-Herzegowina;7;0;0;
177;7;41;Johannes Buhler;Deutschland;0;0;0;
178;7;24;Justin Hoogma;Niederlande;0;0;0;
179;7;21;Benjamin Hübner;Deutschland;24;3;0;
180;7;3;Pavel Kaderabek;Tschechien;23;0;0;
181;7;6;Haavard Nordtveit;Norwegen;10;0;0;
182;7;31;Felix Passlack;Deutschland;2;0;0;
183;7;38;Stefan Posch;Österreich;9;0;0;
184;7;42;Alexander Rossipal;Deutschland;0;0;0;
185;7;16;Nico Schulz;Deutschland;21;1;0;
186;7;18;Nadiem Amiri;Deutschland;22;2;0;
187;7;10;Kerem Demirbay;Deutschland;15;2;0;
188;7;32;Dennis Geiger;Deutschland;21;2;0;
189;7;11;Florian Grillitsch;Österreich;20;1;0;
190;7;37;Robin Hack;Deutschland;1;1;0;
191;7;8;Eugen Polanski;Polen;8;0;0;
192;7;7;Lukas Rupp;Deutschland;17;2;0;
193;7;16;Pirmin Schwegler;Schweiz;0;0;0;
194;7;22;Kevin Vogt;Deutschland;26;0;0;
195;7;43;Maximilian Waack;Deutschland;0;0;0;
196;7;17;Steven Zuber;Schweiz;17;1;0;
197;7;29;Serge Gnabry;Deutschland;18;7;0;
198;7;27;Andrej Kramaric;Kroatien;28;9;0;
199;7;26;David Otto;Deutschland;0;0;0;
200;7;35;Meris Skenderovic;Deutschland;0;0;0;
201;7;28;Adam Szalai;Ungarn;13;3;0;
202;7;19;Mark Uth;Deutschland;26;12;0;
203;7;44;Nicolas Wahling;Deutschland;0;0;0;
204;8;13;Jens Grahl;Deutschland;0;0;0;
205;8;16;Ron-Robert Zieler;Deutschland;28;0;0;
206;8;3;Dennis Aogo;Deutschland;24;0;0;
207;8;28;Holger Badstuber;Deutschland;21;2;0;
208;8;5;Timo Baumgartl;Deutschland;24;0;0;
209;8;32;Andreas Beck;Deutschland;21;1;0;
210;8;29;Ailton;Brasilien;5;0;0;
211;8;2;Emiliano Insua;Argentinien;19;0;0;
212;8;35;Marcin Kaminski;Polen;19;0;0;
213;8;21;Benjamin Pavard;Frankreich;28;1;0;
214;8;19;Chadrac Akolo;Kongo DR;21;4;0;
215;8;6;Santiago Ascacibar;Argentinien;25;0;0;
216;8;24;Dzenis Burnic;Deutschland;6;0;0;
217;8;0;Dzenis Burnic;Deutschland;6;0;0;
218;8;20;Christian Gentner;Deutschland;21;0;0;
219;8;34;Jacob Bruun Larsen;Dänemark;2;0;0;
220;8;23;Orel Mangala;Belgien;16;0;0;
221;8;31;Berkay Ozcan;Türkei;13;0;0;
222;8;17;Erik Thommy;Deutschland;8;1;0;
223;8;25;Matthias Zimmermann;Deutschland;2;0;0;
224;8;11;Takuma Asano;Japan;15;1;0;
225;8;14;Anastasios Donis;Griechenland;14;1;0;
226;8;33;Daniel Ginczek;Deutschland;17;5;0;
227;8;27;Mario Gomez;Deutschland;11;6;0;
228;8;15;Carlos Mané;Portugal;0;0;0;
229;9;35;Moritz Nicolas;Deutschland;0;0;0;
230;9;21;Tobias Sippel;Deutschland;5;0;0;
231;9;1;Yann Sommer;Schweiz;24;0;0;
232;9;29;Mamadou Doucoure;Frankreich;0;0;0;
233;9;2;Mandela Egbo;England;1;0;0;
234;9;0;Mandela Egbo;England;1;0;0;
235;9;30;Nico Elvedi;Schweiz;27;1;0;
